lnc	prob	Type
ENSG00000177410	0.985150675803772	1
ENSG00000184809	0.968561999411532	1
ENSG00000205866	0.996673189318366	1
ENSG00000214049	0.992396884930786	1
ENSG00000222030	0.994159025486838	1
ENSG00000223534	0.992588614112232	1
ENSG00000227617	0.976642357443483	1
ENSG00000213468	0.999004209241108	1
ENSG00000228598	0.979924610029254	1
ENSG00000242759	0.979893009415967	1
ENSG00000222041	0.933738890085369	1
ENSG00000233016	0.922693975763396	1
ENSG00000228544	0.956294613555074	1
ENSG00000177640	0.928844789424911	1
ENSG00000130600	0.931906555723399	1
ENSG00000229404	0.946341698504984	1
ENSG00000197085	0.942664796384051	1
ENSG00000259974	0.958851695600897	1
ENSG00000235123	0.924197289329022	1
lncID	0.858916535007302	1
ENSG00000179840	0.851355711566284	1
ENSG00000215808	0.863370856342372	1
ENSG00000179818	0.917077928197104	1
ENSG00000196756	0.926747207583394	1
ENSG00000237523	0.879245091155171	1
ENSG00000234608	0.874000255789142	1
ENSG00000240498	0.87191926979227	1
ENSG00000236753	0.936062526239548	1
ENSG00000229807	0.894754186545033	1
ENSG00000212694	0.912500641786028	1
ENSG00000225733	0.932361872256733	1
ENSG00000203875	0.904802960830275	1
ENSG00000234741	0.873634797204286	1
ENSG00000223768	0.932703766399063	1
ENSG00000238266	0.914045177074149	1
ENSG00000231764	0.853944573441986	1
ENSG00000230487	0.90701568641467	1
ENSG00000223891	0.926745914905332	1
ENSG00000197308	0.860718627341557	1
ENSG00000236423	0.935683411292266	1
ENSG00000237424	0.853675587377511	1
ENSG00000231133	0.865353998350911	1
ENSG00000230798	0.85208380686352	1
ENSG00000227674	0.885091891589109	1
ENSG00000187621	0.913834942681715	1
ENSG00000206337	0.909017999114003	1
ENSG00000241472	0.893752844515256	1
ENSG00000197989	0.857265084646642	1
ENSG00000228775	0.937109596056398	1
ENSG00000256124	0.90042455787072	1
ENSG00000231177	0.914521554515231	1
ENSG00000214381	0.875508228042163	1
ENSG00000245954	0.92220276132226	1
ENSG00000247400	0.906629742248915	1
ENSG00000247774	0.931806482071988	1
